iteration;temperature;cost;result
48;5486.080000000002;5447.893467123491;["Lille" "Paris" "Strasbourg" "Besançon" "Caen" "Limoges" "Lyon" "Rennes" "Ajaccio" "Marseille" "Bordeaux" "Toulouse" "Lille"]
49;5485.790000000002;5852.80742153758;["Lille" "Paris" "Strasbourg" "Caen" "Besançon" "Limoges" "Lyon" "Rennes" "Ajaccio" "Marseille" "Bordeaux" "Toulouse" "Lille"]
50;5485.500000000002;6275.490460087124;["Lille" "Paris" "Strasbourg" "Caen" "Besançon" "Limoges" "Lyon" "Ajaccio" "Rennes" "Marseille" "Bordeaux" "Toulouse" "Lille"]
51;5485.210000000002;5385.466337155696;["Lille" "Paris" "Strasbourg" "Caen" "Besançon" "Limoges" "Lyon" "Ajaccio" "Marseille" "Rennes" "Bordeaux" "Toulouse" "Lille"]
52;5484.920000000002;6275.490460087124;["Lille" "Paris" "Strasbourg" "Caen" "Besançon" "Limoges" "Lyon" "Ajaccio" "Rennes" "Marseille" "Bordeaux" "Toulouse" "Lille"]
53;5484.630000000002;6918.244344320596;["Lille" "Paris" "Marseille" "Caen" "Besançon" "Limoges" "Lyon" "Ajaccio" "Rennes" "Strasbourg" "Bordeaux" "Toulouse" "Lille"]
54;5484.340000000002;6872.593791398451;["Lille" "Paris" "Marseille" "Caen" "Besançon" "Limoges" "Ajaccio" "Lyon" "Rennes" "Strasbourg" "Bordeaux" "Toulouse" "Lille"]
55;5484.050000000002;6832.734148606325;["Lille" "Paris" "Marseille" "Caen" "Strasbourg" "Limoges" "Ajaccio" "Lyon" "Rennes" "Besançon" "Bordeaux" "Toulouse" "Lille"]
56;5483.760000000002;6704.456814859858;["Lille" "Paris" "Marseille" "Caen" "Strasbourg" "Limoges" "Ajaccio" "Lyon" "Rennes" "Besançon" "Toulouse" "Bordeaux" "Lille"]
57;5483.470000000002;7038.84495071489;["Lille" "Paris" "Marseille" "Caen" "Strasbourg" "Limoges" "Ajaccio" "Lyon" "Rennes" "Toulouse" "Besançon" "Bordeaux" "Lille"]
58;5483.180000000002;6954.335972213375;["Lille" "Paris" "Marseille" "Caen" "Strasbourg" "Ajaccio" "Limoges" "Lyon" "Rennes" "Toulouse" "Besançon" "Bordeaux" "Lille"]
59;5482.890000000002;6838.91954285471;["Lille" "Paris" "Toulouse" "Caen" "Strasbourg" "Ajaccio" "Limoges" "Lyon" "Rennes" "Marseille" "Besançon" "Bordeaux" "Lille"]
60;5482.600000000002;6923.428521356225;["Lille" "Paris" "Toulouse" "Caen" "Strasbourg" "Limoges" "Ajaccio" "Lyon" "Rennes" "Marseille" "Besançon" "Bordeaux" "Lille"]
61;5482.310000000002;6058.971670358833;["Lille" "Paris" "Toulouse" "Caen" "Strasbourg" "Marseille" "Ajaccio" "Lyon" "Rennes" "Limoges" "Besançon" "Bordeaux" "Lille"]
62;5482.020000000002;5579.66973010702;["Lille" "Paris" "Toulouse" "Caen" "Strasbourg" "Marseille" "Ajaccio" "Lyon" "Rennes" "Limoges" "Bordeaux" "Besançon" "Lille"]
63;5481.730000000002;5579.66973010702;["Lille" "Paris" "Toulouse" "Caen" "Strasbourg" "Marseille" "Ajaccio" "Lyon" "Rennes" "Limoges" "Bordeaux" "Besançon" "Lille"]
64;5481.440000000002;5456.201707870462;["Lille" "Paris" "Toulouse" "Caen" "Strasbourg" "Ajaccio" "Marseille" "Lyon" "Rennes" "Limoges" "Bordeaux" "Besançon" "Lille"]
65;5481.150000000002;5419.89985673367;["Lille" "Paris" "Toulouse" "Caen" "Besançon" "Ajaccio" "Marseille" "Lyon" "Rennes" "Limoges" "Bordeaux" "Strasbourg" "Lille"]
66;5480.860000000002;6102.647774754179;["Lille" "Paris" "Toulouse" "Caen" "Ajaccio" "Besançon" "Marseille" "Lyon" "Rennes" "Limoges" "Bordeaux" "Strasbourg" "Lille"]
67;5480.570000000002;6140.911823933086;["Lille" "Paris" "Toulouse" "Caen" "Ajaccio" "Besançon" "Strasbourg" "Lyon" "Rennes" "Limoges" "Bordeaux" "Marseille" "Lille"]
